district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,census_literacy_rate_7plus,census_male_female_literacy_gap_pp,census_sex_ratio,census_sc_pct,census_st_pct,census_work_participation_rate,census_agri_labour_share_of_workers,census_marginal_worker_share,census_total_population_person,census_rural_share_pct
Chikkamagaluru,B0145 biruru,3988,63.19,25.56,25.0,95.0,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikkamagaluru,B0147 chikmagalur,6118,56.23,27.66,15.0,90.0,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,8.89,1005.7,29.88,2.68,53.98,31.74,12.19,186967.0,100.0
Chikkamagaluru,B0152 kadur,5777,58.31,27.96,15.0,95.0,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.26,11.01,987.3,21.8,1.95,58.3,65.45,22.96,234794.0,100.0
Chikkamagaluru,B0154 koppa,2437,70.51,23.93,35.0,95.0,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.56,5.2,1033.5,21.69,5.37,48.6,34.76,10.72,79889.0,100.0
Chikkamagaluru,B0160 moodigere,3569,54.81,24.97,20.0,90.0,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.87,6.91,1033.0,25.98,12.61,52.84,15.78,6.42,116216.0,100.0
Chikkamagaluru,B0163 narasimharajapura,1933,62.38,24.94,25.0,95.0,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.26,3.35,1042.1,17.38,3.11,49.73,55.28,7.65,58632.0,100.0
Chikkamagaluru,B0165 sringeri,835,61.86,25.91,25.0,95.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.34,3.34,1033.0,12.08,8.94,41.67,56.2,9.96,32617.0,100.0
Chikkamagaluru,B0166 tarikere,4237,62.15,25.71,25.0,95.0,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.08,9.45,993.7,26.25,3.62,48.6,55.9,20.6,189338.0,100.0
Chitradurga,B0026 challakere,21467,37.51,28.49,0.0,80.0,3.42,435.0,388.0,89.2,10.8,82.76,42248.0,27851.0,1311.0,21.24,47.44,59.65,95.62,99.48,65.98,96.39,55.67,5.67,95.88,93.04,88.92,93.56,4.8,1.32,3.06,0.75,6.38,4.61,235.13,71.8,66.88,15.83,961.5,23.7,30.2,57.02,58.53,26.72,310590.0,100.0
Chitradurga,B0035 chitradurga,18330,42.25,27.88,5.0,80.0,4.29,424.0,340.0,80.19,19.81,75.0,59034.0,26444.0,1325.0,19.96,59.85,55.92,100.0,100.0,60.59,98.53,83.53,11.47,98.82,95.59,84.71,89.12,9.37,1.29,3.41,0.89,9.71,5.14,231.39,77.8,74.53,12.31,964.1,27.57,20.69,51.85,60.62,19.08,283673.0,95.94
