district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Mysuru,B0150 hunsur,5616,51.95,26.82,15.0,90.0,3.49
Mysuru,B0156 krishnarajanagara,3785,53.92,28.04,15.0,90.0,1.63
Mysuru,B0162 mysore rural,5223,55.3,26.85,15.0,90.0,4.75
Mysuru,B0164 periya patna,5255,64.47,25.47,30.0,95.0,4.16
Raichur,B0039 devadurga,14171,42.82,26.89,5.0,80.0,-0.07
Raichur,B0089 lingasugur,15003,45.25,26.95,10.0,80.0,-2.66
Raichur,B0096 manvi,12586,49.01,28.14,10.0,85.0,-0.3
Raichur,B0111 raichur,13764,49.59,28.8,10.0,90.0,3.25
Raichur,B0126 sindhanur,14600,46.61,27.41,10.0,85.0,0.11
Ramanagara,B0077 kanakapura,8568,57.12,27.2,15.0,90.0,4.45
Ramanagara,B0112 ramanagara,4460,76.26,23.03,45.0,100.0,2.6
Ramanagara,B0146 channapatna,6050,52.24,27.81,15.0,90.0,6.06
Ramanagara,B0157 magadi,5868,56.47,26.89,15.0,90.0,3.41
Tumakuru,B0031 chiknayakanhalli,8784,63.08,25.18,25.0,95.0,3.16
Tumakuru,B0046 gubbi,11721,72.47,25.39,30.0,100.0,1.73
Tumakuru,B0082 koratagere,5775,59.13,26.3,20.0,90.0,4.54
Tumakuru,B0087 kunigal,7076,61.54,26.04,25.0,95.0,4.09
Tumakuru,B0091 madhugiri,9112,51.69,27.36,15.0,90.0,3.08
Tumakuru,B0127 sira,13283,54.38,26.97,15.0,90.0,2.99
Tumakuru,B0135 tiptur,6816,66.06,24.54,30.0,95.0,3.08
Tumakuru,B0136 tumkur,11261,63.97,25.02,25.0,95.0,2.86
Tumakuru,B0137 turuvekere,6426,72.29,24.09,35.0,100.0,3.52
Tumakuru,B0168 pavagada,3857,72.34,22.92,40.0,100.0,2.18
Udupi,B0022 brahmavara,1850,73.54,23.26,40.0,100.0,4.59
Udupi,B0024 byndoor,560,85.1,15.72,64.5,100.0,-2.04
Udupi,B0138 udupi,405,62.65,25.6,22.0,95.0,2.88
Uttara Kannada,B0101 mundagod,466,60.28,26.75,20.0,90.0,7.55
Uttara Kannada,B0144 yellapur,335,83.43,18.87,55.0,100.0,4.87
Vijayanagara,B0051 hadagali,8727,47.12,28.03,10.0,85.0,-0.71
Vijayanagara,B0052 hagaribommanahalli,11100,43.33,27.42,5.0,80.0,2.14
Vijayanagara,B0055 harapanahalli,17073,41.31,27.57,5.0,80.0,0.91
Vijayanagara,B0065 hosapete,9803,43.55,27.24,5.0,80.0,1.68
Vijayanagara,B0084 kudligi,14706,42.96,28.99,5.0,85.0,2.59
Vijayapura,B0016 basavan bagewadi,11240,63.2,27.99,20.0,95.0,0.98
Vijayapura,B0025 chadachan,6301,66.96,26.58,25.0,95.0,1.93
Vijayapura,B0070 indi,11400,53.22,29.37,10.0,90.0,2.11
Vijayapura,B0125 sindagi,12843,49.9,28.75,10.0,90.0,0.65
Vijayapura,B0134 talikoti,298,76.02,18.32,50.0,95.0,2.2
Vijayapura,B0139 vijayapura rural,16624,61.69,27.64,20.0,95.0,1.34
Vijayapura,B0161 muddebihal,10877,50.98,29.57,10.0,90.0,0.5
Yadgir,B0120 shahapur,14094,46.78,27.93,10.0,85.0,-0.6
Yadgir,B0123 shorapur,19558,50.85,28.97,10.0,90.0,-1.04
Yadgir,B0141 yadgir,11201,45.5,28.04,10.0,85.0,-0.44
