state,division,revenue_district,district,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Bengaluru,Tumakuru,TUMAKURU MADHUGIRI,2023-24,1423,1287,90.44,9.56,91.85,104293.0,64097.0,3336.0,19.21,46.28,57.85,98.21,100.0,53.61,97.28,27.89,7.77,81.43,97.98,94.33,93.94,2.96,1.34,2.59,3.81,10.9,6.7,241.45,49.8
KARNATAKA,Mysuru,Udupi,UDUPI,2023-24,909,744,81.85,18.15,86.91,145319.0,60507.0,2374.0,25.49,69.04,62.64,99.87,100.0,94.62,77.69,48.79,14.78,97.04,98.12,99.87,97.72,5.8,1.81,4.44,1.21,6.44,6.82,240.29,81.3
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA,2023-24,1075,975,90.7,9.3,85.3,85799.0,50370.0,3008.0,16.75,67.69,62.57,99.79,100.0,58.05,58.97,13.33,7.28,91.9,97.95,99.18,90.87,1.26,1.42,3.04,0.42,6.93,7.15,240.62,51.7
KARNATAKA,Belagavi,Uttara Kannada,UTTARA KANNADA SIRSI,2023-24,1201,1140,94.92,5.08,88.34,85704.0,67249.0,3010.0,22.34,62.96,66.51,98.77,99.47,96.05,70.53,9.3,5.0,97.11,89.56,94.56,90.18,6.5,1.33,2.66,0.91,5.58,5.36,237.08,59.0
KARNATAKA,Kalaburagi,Vijayanagara,VIJAYANAGARA,2023-24,1355,1037,76.53,23.47,74.83,205033.0,140840.0,4501.0,31.29,41.32,63.14,96.53,95.37,44.94,95.08,13.89,10.03,83.22,74.16,77.15,92.09,3.71,1.48,4.87,1.2,7.16,4.56,230.68,135.8
KARNATAKA,Belagavi,Vijayapura,VIJAYAPURA,2023-24,2923,2025,69.28,30.72,73.01,426391.0,269561.0,8985.0,30.0,40.37,52.43,93.14,97.68,80.79,77.68,19.41,9.28,82.62,80.59,71.65,82.07,4.41,1.15,4.5,1.09,7.92,4.1,228.93,133.1
KARNATAKA,Kalaburagi,Yadgir,YADAGIRI,2023-24,1368,1006,73.54,26.46,74.93,211127.0,153106.0,2809.0,54.51,39.91,59.7,90.56,74.75,45.03,64.91,11.03,7.06,81.91,74.85,65.81,86.58,3.93,1.3,4.46,0.97,5.72,3.0,227.27,152.2
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,2024-25,1933,1458,75.43,24.57,71.03,309850.0,201572.0,7056.0,28.57,44.66,66.07,98.29,97.6,68.66,90.81,37.72,12.28,95.13,92.25,85.6,86.9,6.48,1.5,5.16,0.67,5.38,3.98,230.18,138.3
KARNATAKA,Kalaburagi,Ballari,BALLARI,2024-25,1124,718,63.88,36.12,61.03,253899.0,131098.0,3199.0,40.98,51.92,75.49,94.71,96.8,45.82,93.04,23.4,13.65,83.98,83.84,80.36,84.68,23.61,1.72,5.37,0.97,3.49,2.62,229.79,182.6
KARNATAKA,Belagavi,Belagavi,BELAGAVI,2024-25,1850,1487,80.38,19.62,76.05,315774.0,199700.0,7133.0,28.0,51.1,59.92,99.26,100.0,59.78,90.52,30.46,11.37,87.29,92.8,83.59,63.55,5.39,1.56,4.94,1.46,8.51,5.24,231.24,134.3
