idx,section,indicator,nfhs6_urban,nfhs6_rural,nfhs6_total,nfhs5_total
88,Population and Household Profile Urban Rural Total Total - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),3.6,3.1,3.3,5.7
89,Population and Household Profile Urban Rural Total Total - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) Women's Empowerment (women age 15-49 years),26.2,20.4,22.1,24.0
90,Population and Household Profile Urban Rural Total Total - Men,Currently married women who usually participate in three household decisions17 (%),91.4,88.0,89.0,88.7
91,Population and Household Profile Urban Rural Total Total - Men,Women who worked in the last 12 months and were paid in cash (%),29.8,31.2,30.8,25.4
92,Population and Household Profile Urban Rural Total Total - Men,Women having a bank or savings account that they themselves use (%),88.3,89.3,89.0,78.6
93,Population and Household Profile Urban Rural Total Total - Men,Women having a mobile phone that they themselves use (%),77.6,57.4,63.6,53.9
94,Population and Household Profile Urban Rural Total Total - Men,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%) Gender Based Violence (age 18-49 years),90.7,75.0,79.2,77.6
95,Population and Household Profile Urban Rural Total Total - Men,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),17.5,24.4,22.3,29.2
96,Population and Household Profile Urban Rural Total Total - Men,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,2.9,2.7,3.1
97,Population and Household Profile Urban Rural Total Total - Men,Young women age 18-29 years who experienced sexual violence by age 18 (%) Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),0.4,0.8,0.7,1.2
98,Population and Household Profile Urban Rural Total Total - Men,Women age 15 years and above who use any kind of tobacco (%),4.6,10.0,8.4,8.9
99,Population and Household Profile Urban Rural Total Total - Men,Men age 15 years and above who use any kind of tobacco (%),26.2,41.1,36.3,38.0
100,Population and Household Profile Urban Rural Total Total - Men,Women age 15 years and above who consume alcohol (%),0.5,1.4,1.1,1.3
101,Population and Household Profile Urban Rural Total Total - Men,"Men age 15 years and above who consume alcohol (%) 15Excludes pregnant women and women with a birth in the preceding 2 months. 16Random blood sugar measurement. 17Decisions about health care for herself, making major household purchases, and visits to her family or relatives. 18Reusable sanitary pads, disposable sanitary pads, tampons, and menstrual cups are considered to be hygienic methods of protection. 19Spousal violence is defined as physical and/or sexual violence.",15.5,20.6,18.9,18.7
