Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2023-24,2359,Dharwad,B0106,C1799,dharwad,navalgund,annigeri urdu,hallikeri (d),navalgund,Dharwad,annigeri urdu,hallikeri (d)
2023-24,2208,Dharwad,B0106,C1665,dharwad,navalgund,urdu navalgund,gudisagar,navalgund,Dharwad,urdu navalgund,gudisagar
2023-24,1341,Haveri,B0114,C2566,haveri,ranebennur,rural urdu,bilhalli,ranebennur,Haveri,rural urdu,bilhalli
2023-24,1473,Haveri,B0114,C2566,haveri,ranebennur,rural urdu,challageri,ranebennur,Haveri,rural urdu,challageri
2023-24,2905,Haveri,B0118,C2594,haveri,savanur,savanur urdu,huvinashigli,savanur,Haveri,savanur urdu,huvinashigli
2023-24,4956,Ballari,B0012,C1655,ballari,ballari east,urdu ballari east,paramadevanahalli,ballari east,Ballari,urdu ballari east,paramadevanahalli
2023-24,5210,Ballari,B0012,C1655,ballari,ballari east,urdu ballari east,sanjeevarayanakote,ballari east,Ballari,urdu ballari east,sanjeevarayanakote
2023-24,6119,Ballari,B0117,C1669,ballari,sandur,urdu sandur,yashwanthnagara,sandur,Ballari,urdu sandur,yashwanthnagara
2023-24,5101,Ballari,B0128,C0802,ballari,siruguppa,k belgal,raravi,siruguppa,Ballari,k belgal,raravi
2023-24,4925,Chitradurga,B0026,C1926,chitradurga,challakere,challakere north,pagadalabande,challakere,Chitradurga,challakere north,pagadalabande
2023-24,3298,Chitradurga,B0026,C0770,chitradurga,challakere,jajuru,kaluvehally,challakere,Chitradurga,jajuru,kaluvehally
2023-24,4621,Chitradurga,B0026,C1567,chitradurga,challakere,talaku,n.devarahally,challakere,Chitradurga,talaku,n.devarahally
2023-24,1925,Chitradurga,B0026,C1657,chitradurga,challakere,urdu challekere,dodderi,challakere,Chitradurga,urdu challekere,dodderi
2023-24,1828,Chitradurga,B0059,C1660,chitradurga,hiriyur,urdu east,dharmapura,hiriyur,Chitradurga,urdu east,dharmapura
2023-24,2989,Chitradurga,B0059,C1660,chitradurga,hiriyur,urdu east,j g halli,hiriyur,Chitradurga,urdu east,j g halli
2023-24,4767,Davanagere,B0028,C2734,davanagere,channagiri,urdu-kerebilachi,navilehal,channagiri,Davanagere,urdu-kerebilachi,navilehal
2023-24,6593,Davanagere,B0038,C2731,davanagere,davanagere(s),urdu-dvg(s),bada,davanagere(s),Davanagere,urdu-dvg(s),bada
2023-24,2146,Davanagere,B0038,C2731,davanagere,davanagere(s),urdu-dvg(s),gopanaalu,davanagere(s),Davanagere,urdu-dvg(s),gopanaalu
2023-24,3172,Davanagere,B0056,C2735,davanagere,harihara,urdu-malebennuru,kadar naykana halli,harihara,Davanagere,urdu-malebennuru,kadar naykana halli
2023-24,1085,Davanagere,B0071,C2733,davanagere,jagalur,urdu-jagalur,basavanakote,jagalur,Davanagere,urdu-jagalur,basavanakote
2023-24,3916,Tumakuru,B0031,C1484,tumakuru,chiknayakanhalli,shettykere,kuppuru,chiknayakanhalli,Tumakuru,shettykere,kuppuru
2023-24,3627,Tumakuru,B0087,C0503,tumakuru,kunigal,girigowdana palya,kithanamangala,kunigal,Tumakuru,girigowdana palya,kithanamangala
2023-24,1678,Tumakuru,B0087,C0722,tumakuru,kunigal,huliyurdurga,choudanakuppe,kunigal,Tumakuru,huliyurdurga,choudanakuppe
2023-24,5671,Tumakuru,B0135,C0548,tumakuru,tiptur,gurugadahalli,thadasooru,tiptur,Tumakuru,gurugadahalli,thadasooru
2023-24,2814,Tumakuru,B0135,C2692,tumakuru,tiptur,tiptur (urdu),hucchagondanahalli,tiptur,Tumakuru,tiptur (urdu),hucchagondanahalli
2023-24,4668,Tumakuru,B0136,C2476,tumakuru,tumkur,nagavalli (urdu),nagavalli,tumkur,Tumakuru,nagavalli (urdu),nagavalli
2023-24,3925,Kolar,B0079,C2210,kolar,kolar,joohalli (urdu-1),kurgal,kolar,Kolar,joohalli (urdu-1),kurgal
2023-24,5953,Kolar,B0079,C1212,kolar,kolar,mudigere,vakkaleri,kolar,Kolar,mudigere,vakkaleri
